"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"152";"A10121";"Mandelschnecke ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0307420358913269;"KW04.xlsx";2016
"153";"A10127";"Aprikosenplunder";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0307420358913269;"KW04.xlsx";2016
"154";"A10135";"Wähe";11,7;11,7;3;NA;3,9;0;0;11,7;100;0,149867424970219;"KW04.xlsx";2016
"155";"A10144";"Trockengebäck 100g verpackt";4,4;4,4;2;NA;2,2;0;0;4,4;100;0,0563603991340993;"KW04.xlsx";2016
"156";"A10148";"Fruchttörtli";7,2;7,2;3;NA;2,4;0;0;7,2;100;0,0922261076739807;"KW04.xlsx";2016
"157";"A10200";"Birchermüesli Classic";19,7;19,7;6;NA;3,28;0;0;19,7;100;0,252340877941308;"KW04.xlsx";2016
"158";"A10201";"Birchermüesli Saisonal";4,9;4,9;1;NA;4,9;0;0;4,9;100;0,0627649899447924;"KW04.xlsx";2016
"159";"A10410";"Sandwich Milano";24;24;6;NA;4;0;0;24;100;0,307420358913269;"KW04.xlsx";2016
"160";"A10414";"Sandwich Ham & Cheese";44,5;44,5;8;NA;5,56;0;0;44,5;100;0,570008582151686;"KW04.xlsx";2016
"161";"A10438";"FB Sandwich Ham & Co";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,0704504989176242;"KW04.xlsx";2016
"162";"A10439";"FB Sandwich Surf'n Turf";22,5;22,5;4;NA;5,63;0;0;22,5;100;0,28820658648119;"KW04.xlsx";2016
"163";"A10450";"Sandwich Laugenkaiser";4;4;1;NA;4;0;0;4;100;0,0512367264855448;"KW04.xlsx";2016
"164";"A10451";"Sandwich Bauette";15;15;3;NA;5;0;0;15;100;0,192137724320793;"KW04.xlsx";2016
"165";"Total Gruppe";NA;7806,9;7806,9;1092;9,294;7,15;0;0;7806,9;NA;100;"KW04.xlsx";2016
"166";"A10000";"Küche";34,9;34,9;10;NA;3,49;0;0;34,9;100;0,406518270025975;"KW05.xlsx";2016
