Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
Total Gruppe,NA,1919.3,1919.3,248,10.978,7.74,0,0,1919.3,NA,100,15.12.csv,2016
A10001,Favorite,838,838,109,NA,7.69,0,0,838,100,45.02,16.12.csv,2016
A10002,Green,363,363,49,NA,7.41,0,0,363,100,19.5,16.12.csv,2016
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.3,16.12.csv,2016
A10005,Menu Suppe,3,3,2,NA,1.5,0,0,3,100,0.16,16.12.csv,2016
A10006,Menu Salat,6,6,4,NA,1.5,0,0,6,100,0.32,16.12.csv,2016
A10007,Senf Mayo Ketschup,2.5,2.5,5,NA,0.5,0,0,2.5,100,0.13,16.12.csv,2016
A10014,Kitchen 4,430,430,34,NA,12.65,0,0,430,100,23.1,16.12.csv,2016
A10040,Garden,179,179,22,7.71,23.22,0,0,179,100,9.62,16.12.csv,2016
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.11,16.12.csv,2016
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,16.12.csv,2016
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,16.12.csv,2016
A10122,Nussbrille,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.13,16.12.csv,2016
A10161,Muffin gross,3,3,1,NA,3,0,0,3,100,0.16,16.12.csv,2016
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.34,16.12.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.21,16.12.csv,2016
A10452,Crispy Chicken,12,12,2,NA,6,0,0,12,100,0.64,16.12.csv,2016
Total Gruppe,NA,1861.6,1861.6,237,7.71,7.85,0,0,1861.6,NA,100,16.12.csv,2016
A10000,Küche,13.5,13.5,4,NA,3.38,0,0,13.5,100,0.89,19.12.csv,2016
