Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10000,Küche,1.9,1.9,1,NA,1.9,0,0,1.9,100,0.12,16.12.csv,2015
A10001,Favorite,630,630,83,NA,7.59,0,0,630,100,38.25,16.12.csv,2015
A10002,Green,585,585,81,NA,7.22,0,0,585,100,35.52,16.12.csv,2015
A10005,Menu Suppe,9,9,6,NA,1.5,0,0,9,100,0.55,16.12.csv,2015
A10006,Menu Salat,43,43,28,NA,1.54,0,0,43,100,2.61,16.12.csv,2015
A10007,Senf Mayo Ketschup,1.5,1.5,3,NA,0.5,0,0,1.5,100,0.09,16.12.csv,2015
A10012,Kitchen 2,52,52,5,NA,10.4,0,0,52,100,3.16,16.12.csv,2015
A10020,Local 0,181,181,25,NA,7.24,0,0,181,100,10.99,16.12.csv,2015
A10040,Garden,75.6,75.6,11,3.216,23.51,0,0,75.6,100,4.59,16.12.csv,2015
A10064,Frucht 1.20,1.2,1.2,1,NA,1.2,0,0,1.2,100,0.07,16.12.csv,2015
A10101,Ragusa-Gipfel ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.29,16.12.csv,2015
A10103,Vanille-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,16.12.csv,2015
A10111,Schoggi Fair,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,16.12.csv,2015
A10114,Fitnessbrötli ,1.9,1.9,1,NA,1.9,0,0,1.9,100,0.12,16.12.csv,2015
A10152,Wienerli im Teig,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.15,16.12.csv,2015
A10161,Muffin gross,15,15,5,NA,3,0,0,15,100,0.91,16.12.csv,2015
